job_id,title,location,job_posting_url,application_url,job_state,experience_level,remote_allowed,salary,salary_band,skills,job_industry,company_name,experience_rank,cluster_id,is_anomaly
227832999,General Laborer,"Erie, PA",https://www.linkedin.com/jobs/view/227832999/?trk=jobs_biz_prem_srch,,PA,Not Specified,0,43680.0,2,,Real Estate,,0,1,0
228003844,Swim Instructor,"Harlingen, TX",https://www.linkedin.com/jobs/view/228003844/?trk=jobs_biz_prem_srch,,TX,Not Specified,0,,0,Other,Recreational Facilities,Harlingen Country Club,0,1,0
229924287,Administrative Assistant,"Woburn, MA",https://www.linkedin.com/jobs/view/229924287/?trk=jobs_biz_prem_srch,,MA,Not Specified,0,47840.0,2,Administrative,Medical Equipment Manufacturing,"REquipment Durable Medical Equipment and Assistive Technology Reuse Program, Inc.",0,1,0
231010577,Service / Construction Technician,"West Bridgewater, MA",https://www.linkedin.com/jobs/view/231010577/?trk=jobs_biz_prem_srch,,MA,Not Specified,0,,0,"Management, Manufacturing",Retail Groceries,Pierce Refrigeration,0,1,0
243731357,Legal Secretary,"Phoenix, AZ",https://www.linkedin.com/jobs/view/243731357/?trk=jobs_biz_prem_srch,,AZ,Not Specified,0,,0,Legal,Real Estate,Fidelity National Title / Law Firm,0,1,0
258868844,Salesperson,United States,https://www.linkedin.com/jobs/view/258868844/?trk=jobs_biz_prem_srch,,,Not Specified,1,,0,"Business Development, Sales",Advertising Services,ABME,0,4,0
263583866,Registered Nurse,"Grayling, MI",https://www.linkedin.com/jobs/view/263583866/?trk=jobs_biz_prem_srch,,MI,Not Specified,0,,0,Health Care Provider,Hospitals and Health Care,Atrium Centers,0,3,0
266566927,Marketing & Office Coordinator,"Denver, CO",https://www.linkedin.com/jobs/view/266566927/?trk=jobs_biz_prem_srch,,CO,Not Specified,0,65000.0,3,Administrative,Real Estate,Revesco Properties,0,1,0
266825034,Software Support Specialist,"McLean, VA",https://www.linkedin.com/jobs/view/266825034/?trk=jobs_biz_prem_srch,,VA,Not Specified,0,62500.0,3,,Staffing and Recruiting,Recruitment Design,0,1,0
280496925,Coordinator for Multicultural Student Organizations,"Pullman, WA",https://www.linkedin.com/jobs/view/280496925/?trk=jobs_biz_prem_srch,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/job/Coordinator-for-Multicultural-Student-Organizations_R-11504?source=Linkedin,WA,Not Specified,0,53268.0,2,"Education, Training",Higher Education,Washington State University,0,3,0
345332937,Barber,"Grafton, WI",https://www.linkedin.com/jobs/view/345332937/?trk=jobs_biz_prem_srch,,WI,Not Specified,0,,0,"Management, Manufacturing",Consumer Services,Headquarters Barbershop,0,1,0
358267047,Production Planner (Food Technologist),"Concord, NC",https://www.linkedin.com/jobs/view/358267047/?trk=jobs_biz_prem_srch,,NC,Not Specified,0,,0,"Management, Manufacturing",Human Resources Services,ADEPT HRM Solutions,0,1,0
368586246,Embryologist,"St Louis, MO",https://www.linkedin.com/jobs/view/368586246/?trk=jobs_biz_prem_srch,https://www.indeed.com/job/embryologist-944f8c0533634448,MO,Not Specified,0,,0,Health Care Provider,,STL Fertility,0,1,0
445337908,Chief Operating Officer,"Anchorage, AK",https://www.linkedin.com/jobs/view/445337908/?trk=jobs_biz_prem_srch,,AK,Not Specified,0,100000.0,5,"Management, Manufacturing",Non-profit Organizations,Food Bank of Alaska,0,1,1
606178500,Associate Attorney,"Kailua-Kona, HI",https://www.linkedin.com/jobs/view/606178500/?trk=jobs_biz_prem_srch,,HI,Not Specified,0,120000.0,5,Other,,Jung & Vassar PC Attorneys At Law A Law Corp,0,1,1
634823509,HVAC Technician,"Brooklyn, NY",https://www.linkedin.com/jobs/view/634823509/?trk=jobs_biz_prem_srch,,NY,Not Specified,0,,0,"Management, Manufacturing",Construction,,0,1,0
658723396,External Mortgage Loan Officer,"Orlando, FL",https://www.linkedin.com/jobs/view/658723396/?trk=jobs_biz_prem_srch,,FL,Not Specified,0,,0,"Finance, Production, Sales",Banking,Orlando Credit Union,0,1,0
705356075,TREC licensed Professional Home Inspector,Dallas-Fort Worth Metroplex,https://www.linkedin.com/jobs/view/705356075/?trk=jobs_biz_prem_srch,,,Not Specified,0,54080.0,2,"Consulting, Sales",Real Estate,"Blackland Home Inspections, PLLC",0,1,0
805229245,"Manager, Retail Pharmacy","Tucson, AZ",https://www.linkedin.com/jobs/view/805229245/?trk=jobs_biz_prem_srch,https://jobs.tmcaz.com/manager-pharmacy-retail/job/27853271,AZ,Not Specified,0,137500.0,5,"Business Development, Sales",Hospitals and Health Care,,0,1,1
844454682,Commercial Property Manager,"Houston, TX",https://www.linkedin.com/jobs/view/844454682/?trk=jobs_biz_prem_srch,,TX,Not Specified,0,,0,"Management, Project Management",Real Estate,,0,1,0
857299959,SALES,"Hackensack, NJ",https://www.linkedin.com/jobs/view/857299959/?trk=jobs_biz_prem_srch,,NJ,Not Specified,0,65000.0,3,"Customer Service, Information Technology, Sales",Telecommunications,,0,1,0
935210241,Transactional Attorney,"New York, NY",https://www.linkedin.com/jobs/view/935210241/?trk=jobs_biz_prem_srch,,NY,Not Specified,0,,0,Legal,Law Practice,Einbinder & Dunn LLP,0,1,0
974774701,Blog writer and virtual assistant,"South Dakota, United States",https://www.linkedin.com/jobs/view/974774701/?trk=jobs_biz_prem_srch,,,Not Specified,1,,0,"Marketing, Sales",,Kate Meadows Writing and Editing,0,4,1
1014822088,Marketing Specialist,United States,https://www.linkedin.com/jobs/view/1014822088/?trk=jobs_biz_prem_srch,,,Not Specified,1,75000.0,3,"Marketing, Sales",Software Development,Tracker,0,4,0
1093227543,Sales Associate Natural Food Products,"Miami, FL",https://www.linkedin.com/jobs/view/1093227543/?trk=jobs_biz_prem_srch,,FL,Not Specified,0,90000.0,4,"Marketing, Product Management, Sales",Food and Beverage Services,POSHI,0,1,0
1129235875,Industrial Sales Representative,"Lancaster, PA",https://www.linkedin.com/jobs/view/1129235875/?trk=jobs_biz_prem_srch,,PA,Not Specified,0,,0,"Business Development, Sales",Individual and Family Services,"TURNER HYDRAULICS, INC",0,1,0
1143359956,National Sales Manager,"Los Angeles, CA",https://www.linkedin.com/jobs/view/1143359956/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,80000.0,4,"Business Development, Sales",Hospitality,,0,1,0
1168783207,Reps manager,"Macon, GA",https://www.linkedin.com/jobs/view/1168783207/?trk=jobs_biz_prem_srch,,GA,Not Specified,1,,0,,Wholesale,,0,4,1
1183148438,"Montessori Lead Guide, Primary","Austin, TX",https://www.linkedin.com/jobs/view/1183148438/?trk=jobs_biz_prem_srch,,TX,Not Specified,0,61000.0,3,,Education Administration Programs,,0,1,0
1219205895,Director of Training,"New York, NY",https://www.linkedin.com/jobs/view/1219205895/?trk=jobs_biz_prem_srch,,NY,Not Specified,0,130000.0,5,Human Resources,,,0,1,1
1448163866,Office Manager,"Chino, CA",https://www.linkedin.com/jobs/view/1448163866/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,67500.0,3,Administrative,Chemical Manufacturing,Genlabs Corp,0,1,0
1573178251,Social Media Coordinator,"New York, United States",https://www.linkedin.com/jobs/view/1573178251/?trk=jobs_biz_prem_srch,,,Not Specified,1,,0,"Marketing, Sales",,,0,4,1
1586552873,Equity Institutional Sales Position,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/1586552873/?trk=jobs_biz_prem_srch,,,Not Specified,0,,0,"Finance, Research, Sales",Financial Services,A.G.P./Alliance Global Partners,0,1,0
1755471110,Front Desk Administrator,"Metairie, LA",https://www.linkedin.com/jobs/view/1755471110/?trk=jobs_biz_prem_srch,,LA,Not Specified,0,,0,,Mental Health Care,NeuroJust,0,1,0
1826257634,Social Security Specialist / Retirement Benefit Advisor (Remote),"Colorado, United States",https://www.linkedin.com/jobs/view/1826257634/?trk=jobs_biz_prem_srch,,,Not Specified,1,45760.0,2,"Business Development, Sales",Hospitals and Health Care,The Medicare Coach,0,4,0
1880409118,Board Certified Behavior Analyst,"McDonough, GA",https://www.linkedin.com/jobs/view/1880409118/?trk=jobs_biz_prem_srch,,GA,Not Specified,0,,0,Health Care Provider,Hospitals and Health Care,Kona Medical Consulting,0,1,0
2011147642,Lead Installer,"Fresno, CA",https://www.linkedin.com/jobs/view/2011147642/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,,0,Information Technology,Computers and Electronics Manufacturing,BWE Home Theater,0,1,0
2147609712,Med-RN ER,"Murrieta, CA",https://www.linkedin.com/jobs/view/2147609712/?trk=jobs_biz_prem_srch,https://arrowstaffingservices.thejobnetwork.com/Job/592623000?etd=MUVP6CXQ22IN4YSCSJLPKH5DDPDQWGOY5RJXHUSXSX3DU6HNVHIJLNB7QRQEZA27FRTD7ZWAHWNWLJUNRBLQDOHZAAIBC5EDJ4US3QMCPKJF6S4ZWYYUMWPGESHPHI64I7Y4GX42NZBJU%3d%3d%3d,CA,Not Specified,0,117332.8,5,Health Care Provider,Staffing and Recruiting,The Job Network,0,2,1
2147609754,Workflow Coordinator Hospitality - Mon - Fri 8am-5pm,"San Antonio, TX",https://www.linkedin.com/jobs/view/2147609754/?trk=jobs_biz_prem_srch,https://williamsleagroupltd.thejobnetwork.com/Job/592658931?etd=MUVP6CXQ22IN4UZSXPGZMJXQW7RXV5E63V7NNV2GPNPKQUL4IPBO5AXPUNK5WZX5GGQAIF4N22SGHLULRALSBFZPIPGW33YEB37U7IUI2KP5JQDA7GQ5T75FCOXHFS6INWDLUCIDIUB5K%3d%3d%3d,TX,Not Specified,0,,0,Other,Staffing and Recruiting,The Job Network,0,1,0
2147609766,Sales Representative,"Ogden, UT",https://www.linkedin.com/jobs/view/2147609766/?trk=jobs_biz_prem_srch,https://bartlettroofing.thejobnetwork.com/Job/592547857?etd=MUVP6CXQ22IN522EY5AZIN3YX2FCAWWOXDIBW5P3BPTESJM4G3XV5EIT5LJEY2IYQ5RBHHH6UZAFNFSMCIJLUPIUE35MFMSMEJTG7UN74F4F22DMXFSREFTPXFT4OQSMOBDBMNIKXJKYM%3d%3d%3d,UT,Not Specified,0,110000.0,5,"Business Development, Sales",Staffing and Recruiting,The Job Network,0,2,1
2147609774,Dental Hygienist - choose your shift,"Huntington, NY",https://www.linkedin.com/jobs/view/2147609774/?trk=jobs_biz_prem_srch,https://tempmee.thejobnetwork.com/Job/585908092?etd=MUVP6CXQ22IN523T4NBNU46L3VK7D32I4OUJD2DUKXN7ST2BTQIGNZWJCZQNKOLAURSP4GDHNARFROVXZJ6YLLMYORA7YPE2ELCWVXR7ZLUZLYMLPU5Q6W7E6YVV3JTYI2NCXUI2QMU3C%3d%3d%3d,NY,Not Specified,0,,0,Health Care Provider,Staffing and Recruiting,The Job Network,0,1,0
